轮次,方案标签,A_LO,A_HI,B_HI,B_MULT,C_MULT,与仓库基准买入一致,成交笔数,收益合计_pct,固定份额0p5_合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值,份额合计,加权收益合计_pts,加权收益率合计_pct,加权笔均_pct,加权胜率_pct,夏普_笔收益_加权,波动率_笔收益标准差_pct_加权,最大回撤_链式净值_pct_加权,盈亏比_均盈除以均亏绝对值_加权,盈亏比_总盈利除以总亏损绝对值_加权
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.04,0.02,0.07,0.97,0.96,False,140,302.0228,151.0114,2.1573,0.304,56.4286,7.0963,24.6569,1.5645,2.1309,49.55,126.1674,252.3348,2.5463,58.224,0.3617,2.6913,11.3172,1.8259,2.4871
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.95,-0.06,0.02,0.06,0.98,0.95,False,141,300.025,150.0125,2.1278,0.3048,57.4468,6.9816,32.2752,1.5017,2.134,50.55,126.2825,252.5651,2.4982,58.6548,0.3583,2.6984,14.8646,1.7335,2.4635
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.95,-0.05,0.02,0.06,0.98,0.95,False,141,300.025,150.0125,2.1278,0.3048,57.4468,6.9816,32.2752,1.5017,2.134,50.55,126.2825,252.5651,2.4982,58.6548,0.3583,2.6984,14.8646,1.7335,2.4635
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.95,-0.04,0.02,0.06,0.98,0.95,False,141,300.025,150.0125,2.1278,0.3048,57.4468,6.9816,32.2752,1.5017,2.134,50.55,126.2825,252.5651,2.4982,58.6548,0.3583,2.6984,14.8646,1.7335,2.4635
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.95,-0.06,0.04,0.07,0.97,0.95,False,153,299.9369,149.9684,1.9604,0.2755,54.2484,7.1152,24.2459,1.6059,1.9895,54.55,126.7094,253.4188,2.3228,56.0037,0.3271,2.7128,10.5195,1.8394,2.2787
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.95,-0.05,0.04,0.07,0.97,0.95,False,153,299.9369,149.9684,1.9604,0.2755,54.2484,7.1152,24.2459,1.6059,1.9895,54.55,126.7094,253.4188,2.3228,56.0037,0.3271,2.7128,10.5195,1.8394,2.2787
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=7.0%·B×=0.97·C×=0.95,-0.04,0.04,0.07,0.97,0.95,False,153,299.9369,149.9684,1.9604,0.2755,54.2484,7.1152,24.2459,1.6059,1.9895,54.55,126.7094,253.4188,2.3228,56.0037,0.3271,2.7128,10.5195,1.8394,2.2787
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.06,0.02,0.08,0.97,0.96,False,140,298.9303,149.4652,2.1352,0.3006,56.4286,7.104,24.6569,1.553,2.1153,49.55,125.3943,250.7885,2.5307,58.224,0.3592,2.6934,11.3172,1.8162,2.4737
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.05,0.02,0.08,0.97,0.96,False,140,298.9303,149.4652,2.1352,0.3006,56.4286,7.104,24.6569,1.553,2.1153,49.55,125.3943,250.7885,2.5307,58.224,0.3592,2.6934,11.3172,1.8162,2.4737
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.04,0.02,0.08,0.97,0.96,False,140,298.9303,149.4652,2.1352,0.3006,56.4286,7.104,24.6569,1.553,2.1153,49.55,125.3943,250.7885,2.5307,58.224,0.3592,2.6934,11.3172,1.8162,2.4737
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=6.0%·B×=0.97·C×=0.96,-0.06,0.04,0.06,0.97,0.96,False,153,298.5461,149.273,1.9513,0.2728,55.5556,7.1518,33.7297,1.5107,1.9755,54.4,125.8324,251.6649,2.3131,56.8934,0.325,2.7116,14.266,1.7336,2.267
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=6.0%·B×=0.97·C×=0.96,-0.05,0.04,0.06,0.97,0.96,False,153,298.5461,149.273,1.9513,0.2728,55.5556,7.1518,33.7297,1.5107,1.9755,54.4,125.8324,251.6649,2.3131,56.8934,0.325,2.7116,14.266,1.7336,2.267
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=6.0%·B×=0.97·C×=0.96,-0.04,0.04,0.06,0.97,0.96,False,153,298.5461,149.273,1.9513,0.2728,55.5556,7.1518,33.7297,1.5107,1.9755,54.4,125.8324,251.6649,2.3131,56.8934,0.325,2.7116,14.266,1.7336,2.267
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=8.0%·B×=0.98·C×=0.96,-0.06,0.02,0.08,0.98,0.96,False,148,298.4076,149.2038,2.0163,0.2839,54.7297,7.101,26.3971,1.593,2.0161,52.15,125.3489,250.6978,2.4036,56.6635,0.3408,2.6774,11.7209,1.8545,2.3471
