策略,样本,胜率,盈亏比,单笔平均收益,总收益_线性,净值_顺序复利,未成交数
扩展网格_止损-7|止盈7|强势阈值2.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.548387,1.424259,0.014624,1.360013,3.026772,0
扩展网格_止损-7|止盈7|强势阈值2.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.548387,1.424259,0.014624,1.360013,3.026772,0
扩展网格_止损-6|止盈12|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.473118,1.816769,0.014579,1.355802,2.799703,0
扩展网格_止损-5|止盈7|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.462366,1.886272,0.014551,1.353235,2.886660,0
扩展网格_止损-5|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.483871,1.733041,0.014551,1.353202,2.875012,0
扩展网格_止损-5|止盈7|强势阈值0.5|强势参考d0|最多D5|转弱阈值0(可成交),93,0.462366,1.885345,0.014532,1.351501,2.882043,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.473118,1.872972,0.014525,1.350867,2.832730,0
扩展网格_止损-7|止盈6|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值1(可成交),93,0.569892,1.269214,0.014513,1.349746,2.996372,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D5|转弱阈值1(可成交),93,0.494624,1.682086,0.014512,1.349618,2.915094,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D4|转弱阈值1(可成交),93,0.494624,1.682086,0.014512,1.349618,2.915094,0
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考d0|最多D5|转弱阈值-2(可成交),93,0.473118,1.828517,0.014492,1.347758,2.898838,0
扩展网格_止损-7|止盈10|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.516129,1.589887,0.014490,1.347544,2.885764,0
扩展网格_止损-6|止盈8|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.483871,1.745162,0.014489,1.347476,2.867613,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.505376,1.642500,0.014481,1.346771,2.889725,0
扩展网格_止损-7|止盈6|强势阈值0.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.569892,1.240869,0.014475,1.346196,2.957743,0
扩展网格_止损-7|止盈12|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.505376,1.648455,0.014462,1.344929,2.819903,0
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.440860,2.050339,0.014459,1.344706,2.856082,0
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.440860,2.049331,0.014441,1.342972,2.851514,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.505376,1.595840,0.014432,1.342205,2.886285,0
扩展网格_止损-7|止盈6|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值-1(可成交),93,0.559140,1.309457,0.014418,1.340888,2.960214,0
扩展网格_止损-7|止盈6|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值-2(可成交),93,0.559140,1.307955,0.014400,1.339228,2.955094,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.505376,1.605685,0.014387,1.337961,2.863192,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.505376,1.605685,0.014387,1.337961,2.863192,0
扩展网格_止损-5|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.494624,1.654176,0.014355,1.335018,2.839795,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考d0|最多D5|转弱阈值0(可成交),93,0.473118,1.863205,0.014339,1.333491,2.788020,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.462366,1.918876,0.014331,1.332780,2.848126,0
扩展网格_止损-5|止盈7|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.483871,1.722102,0.014312,1.330988,2.827162,0
扩展网格_止损-7|止盈7|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.569892,1.261900,0.014307,1.330557,2.939412,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D5|转弱阈值-2(可成交),93,0.494624,1.671551,0.014297,1.329631,2.850725,0
扩展网格_止损-5|止盈7|强势阈值1.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.483871,1.721248,0.014293,1.329254,2.822640,0
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.440860,1.997368,0.014288,1.328754,2.776489,0
扩展网格_止损-7|止盈12|强势阈值1.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.505376,1.639802,0.014275,1.327552,2.775396,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.516129,1.535957,0.014273,1.327371,2.855011,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.516129,1.535957,0.014273,1.327371,2.855011,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D5|转弱阈值-1(可成交),93,0.494624,1.688265,0.014267,1.326842,2.835230,0
扩展网格_止损-7|止盈10|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.505376,1.631994,0.014252,1.325456,2.815431,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.440860,2.049207,0.014251,1.325344,2.711661,0
扩展网格_止损-7|止盈9|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.483871,1.790800,0.014251,1.325299,2.852872,0
扩展网格_止损-5|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.483871,1.706875,0.014238,1.324106,2.799861,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.569892,1.232797,0.014235,1.323844,2.805070,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.483871,1.702054,0.014221,1.322534,2.785802,0
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.451613,1.958394,0.014205,1.321059,2.803823,0
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.451613,1.958394,0.014205,1.321059,2.803823,0
扩展网格_止损-5|止盈7|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.451613,1.934757,0.014191,1.319722,2.786266,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.516129,1.576243,0.014187,1.319361,2.839955,0
扩展网格_止损-6|止盈12|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.473118,1.797491,0.014179,1.318630,2.701299,0
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.569892,1.230640,0.014171,1.317872,2.878870,0
扩展网格_止损-7|止盈12|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.462366,1.917192,0.014165,1.317354,2.734211,0
扩展网格_止损-7|止盈10|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.569892,1.256677,0.014160,1.316855,2.882807,0
扩展网格_止损-7|止盈12|强势阈值0.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.440860,2.025398,0.014158,1.316653,2.685142,0
扩展网格_止损-5|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.483871,1.714736,0.014151,1.316030,2.773961,0
